ACTA2
PECAM1
VWF
ENG
CMA1
MS4A2
TPSAB1
TPSB2
AR
KRT19
KRT18
KRT8
TP63
KRT14
KRT5
LYZ
FCGR3A
CSF1R
CD68
CD163
CD14
UCHL1
HAVCR2
PDCD1
CTLA4
CD8A
SELL
PTPRC
CD4
BTLA
IL2RA
IL7R
CCR7
CD28
CD27
SLAMF1
DPP4
CD7
CD2
CD3G
CD3E
CD3D
